year,Emissions,Emissions_1,Emissions_99,Emissions_10,Emissions_25,Emissions_50,Emissions_75,Emissions_90,emissions_BAU,RCP2.6 (GtC),RCP4.5(GtC),RCP6.0(GtC),RCP8.5(GtC),emissions_BAU
2075,21.763866,11.264128677368165,30.0370150756836,16.27950225830078,19.101079177856445,22.010519409179686,24.72772102355957,26.899745788574215,28.50323,1.01940462,18.69487698,63.0929598,100.12883478,28.50323
2080,20.289806,9.436672561645508,28.69199090576172,14.695305328369141,17.563883209228514,20.506297302246093,23.318518829345702,25.571396026611332,26.344105,0.14663999999999963,15.381949439999998,62.068606079999995,102.20155451999999,26.344105
2085,18.84628,7.873320243835449,27.569450286865237,13.112427825927735,16.022623443603514,19.114708709716798,21.92463493347168,24.20908126831055,24.252167,-0.5590649999999999,15.436389539999999,56.62624578,103.69654932,24.252167
2090,17.466188,6.204496654510498,26.26842263793946,11.652380752563477,14.595087432861328,17.669378662109374,20.664169692993163,22.916690368652347,22.350035,-1.0935678,15.490829639999998,52.90558572,104.80346136,22.350035
2095,16.168926,5.025178485870361,25.17572232055664,10.348465728759766,13.262290573120117,16.440283203125,19.347594451904296,21.66777328491211,20.506935,-1.3712673,15.545269739999998,51.76747602,105.32824926,20.506935
2100,14.934206,3.4736361236572266,24.028931732177742,8.969244995117188,12.018595314025879,15.234284973144531,18.171577835083006,20.499564666748046,18.771006,-1.687841064,14.74215912,49.52787996,105.62053943999999,18.771006
2105,13.770268,2.2715356693267834,22.976698547363288,7.683237228393554,10.858871841430664,14.051699829101562,17.049421310424805,19.382613067626956,17.173628,-2.062726224,12.65272242,45.63605436,105.56408304,17.173628
2110,12.704185,0.6657965340614322,21.929022384643563,6.55342514038086,9.740143966674804,13.013021087646484,15.96481819152832,18.46991882324219,15.649702,-2.4376113839999998,10.80098916,41.74422876,105.50762664,15.649702
2115,11.6992445,1.0356165728353518e-07,21.212960372924805,5.635604324340821,8.591541862487793,11.937678146362305,15.026666259765625,17.504234619140625,14.290094,-2.812496544,9.30581106,37.85240316,105.45117024,14.290094
2120,10.772257,1.0339833033867763e-07,20.199883850097656,4.435703735351563,7.66031436920166,11.060048675537109,14.150313568115234,16.646658172607424,13.043358,-3.187381704,8.16696816,33.96057756,105.39471384,13.043358
2125,9.893643,1.0325485084194952e-07,19.52707232666016,3.549339904785157,6.75432243347168,10.119036102294922,13.262107849121094,15.80162338256836,11.85063,-3.4123127999999996,7.56262806,30.121944153599998,105.36084,11.85063
2130,9.066594,1.0310833147286757e-07,18.792070571899416,2.5562195014953617,5.921705913543701,9.290016174316406,12.38942928314209,15.022090148925784,10.857515,-3.4123127999999996,7.01327796,26.363098671,105.36084,10.857515
2135,8.3186245,1.0296257903519291e-07,18.080060821533202,1.2817065143585211,5.042436313629151,8.491835403442384,11.688501167297364,14.338476715087893,9.9122,-3.4123127999999996,6.546412859999999,22.604253188399998,105.36084,9.9122
2140,7.618029,1.0282683342666132e-07,17.4927179260254,1.0335485626455921e-07,4.228481388092041,7.81855583190918,11.008798027038575,13.616796112060547,9.070755,-3.4123127999999996,6.07447035,18.8454077058,105.36084,9.070755
2145,6.9975996,1.0268536061630584e-07,16.887428649902347,1.0309884260095714e-07,3.314291000366211,7.215563583374023,10.364929962158204,13.14513671875,8.293394,-3.4123127999999996,5.594911725,15.086562223199998,105.36084,8.293394
2150,6.4420547,1.0254516314489592e-07,16.685031692504886,1.0293526770510653e-07,2.468299913406372,6.5240825653076175,9.933679580688477,12.658020095825197,7.61336,-3.4123127999999996,5.6995302,12.3606522,103.38270306,7.61336
2155,5.9710565,1.0240272104056203e-07,16.310246337890625,1.0280233254889028e-07,1.4812515020370483,5.936087036132813,9.47709903717041,12.18217010498047,6.9155135,-3.4123127999999996,5.5829514,11.382123479999999,98.43736437599999,6.9155135
